description,company_name,name,address,city,country,languages,telephone,fax,website,linkedin
"
                The founders of Elfatek Elektronik who have brought their 15 years of experience in the industrial electronics sector to the Crane remote control sector in 2006, have produced the first crane remote controls with 80 channels and 120 hours of operating life in Turkey with the project support of TUBITAK. Elfatek produces all electronic parts, software and mechanical parts of its remote controls under its own roof. Elfatek has become the leading crane remote control producer and designer of Turkey with its technological infrastructure investments and continuous research and development activities up to now. The firm continues its activities with its young and dynamic engineer staff for developing the high-performance and high-quality products required by the industry
                 
                 
            ",Elfatek Electronic,Metin Dereli̇,Modesa Sanayi Sitesi 10735 Sk. N0 : 10  Karatay,Konya,Turkey,,+(90)-332-3453883,+(90)-332-3453884,www.elfatek.com.tr,https://linkedin.com/in/metin-dereli-4a999710b
"
                Azm-ü Sebat was founded at Söke by Osman Bey around 1930’s which was produced first animal drawn plough in Turkey. After 1960 the company started to continue production process with new products az Azim Ziraat Aletleri that was managing by Faris UYGUNTÜZEL. Turkish farmer met cotton seed sowing machine, disc harrow, rotary plough, rotating land leveling blade, scraper and fertilizer spreader which are domestic product.  Azim Ziraat Aletleri is one of the most experienced company in production of agricultural machines that is landed a field in Aydın in Ortaklar which is 12868 m2 . Azim Ziraat Aletleri has been producing goods and services for domestic and foreign farmers since 1967. We present qualified and trustable goods to farmers who are all around the World that are confirmed by CE certificate, TSEK and ISO 9001:2008. 
                 
                 
            ",Azim Agricultural Products,Tuncay Lale,Ortaklar Mah. Alparslan Türkeş Naipli Bulvarı No:50  Germencik,Aydın,Turkey,,+(90)-256-5771037,+(90)-256-5771205,www.azimziraat.com.tr,https://linkedin.com/in/tuncay-lale-58668184
"
                As one of the leading companies of the Turkey, SEM is growing each day with experience of more than 40 years. SEM Plastik has three facilities namely one production plant in İstanbul of 20.000 sqm closed area, another production plant in Malatya of 8.500 sqm closed area and 600 sqm sales and logistics office in İstanbul. A part from being one of the first 1000 top leading exporters of Turkey, SEM Plastik is also nominated as one of 100 top leading companies in East Turkey by an international research. SEM Plastik is using upto date technology from world’s top machine&mould manufacturers like Reifenhauser, Union, OMV, TFT, Fostag, Nestal, Demag, Rascher Systems. Thus hightech combined with experience results in production of 80 bilion pieces & an export of 4500 contaniers to four continents, 45 countries worldwide. As a founder member, board member or member of national and international organizations like PAGEV, ISO, ITO, ASD, ITCA, IFSA, PLMA our company has certified its quality with TUV ISO9001:2000, HACCP, TSE and TKB. Starting from the choice of prime virgin first grade raw materials to design, mould making and manufacturing are all part of our design departments field of control and influence. SEM reflects its social responsibilty not only in field of production and service to our clients but also activly supports NGO’s like ITU Cevkor, TEMA Foundation, Mc Donald’s Child Foundation, İstanbul Science and Arts Center, Gate Gourmet Football Team. SEM Plastik with its increasing dynamism and success, would like to share the future with its clients. HISTORY Our Group was established in 1975 mainly focusing on production agricultural technical parts . SEM Plastic used the knowledge and experience it has gained from Agricultural Machine Parts production until 1980’s; to become an OEM for Electronic and Telecommunications sector that needs precise standards and very small tolerances and served as sole supplier for honorable companies like ALCATEL , Northern Telecommunications and Termal. In 1982 using knowledge and the quality advantage gained from precise productions for Electronics and Communication Sector and the market demand we started investing in “Production of Plastic Disposables and Inflight Service Equipment “ thus resulting in a wide range of products and specialization in the field of business.  
                 
                 
            ",Sem Plastic,Arzu Güçlü,Alipaşa Mah. Trablusgarp Cad. No:3/2  Silivri,İstanbul,Turkey,,+(90)-212-7360737,+(90)-212-7360727,www.semplastik.com.tr,https://www.linkedin.com/in/arzu-g%C3%BC%C3%A7l%C3%BC-24953214a
"
                
                 
                 
            ",Bonera - Tutku Metal Co. Ltd.,Aydın Çolak,ORGANIZE SANAYI BOLGESI 19.CADDE NO:4  46050,K.Maraş,Turkey,English - Arabic ,+(90)-344-5020182,+(90)-344-5020181,www.tutkumetal.com,https://www.linkedin.com/in/ayd%C4%B1n-%C3%A7olak-8460a8116
"
                Our company was established in 1968, and today serves the sector with our partners with a 7,000 m2 of metal production plant and a 7,000 m2 of wood production plant. With following up the emerging technologies, our company renewed production lines, product quality and managed to move to the next level. This success has been registered with ISO 9001:2008 Certification. As a result of these investments with rising quality standards Our company gained the chance of working with domestic and international brands. As a result of rising product quality, to produce more quality projects, technical details and to improve solution we established Stüdyo KA Architecture Company, which give service to our client in order to carry out turnkey projects presented. The purpose of the Stüdyo KA Architecture Company is not to build a rivalry between the architecture companies. The purpose is to produce more economic goods with developed technical details and contemporary sense, without compromising on quality in the line between design and manufacturing. Our group companies continue to produce valuable projects with this aim.
                 
                 
            ",Kartes Shop & Office Systems,Burag Ciroğlu,İstanbul Beylikdüzü Org.San.Bölg. Bakır ve Pirinç San. Sit. Karanfil Cad. No:9  Beylikdüzü,İstanbul,Turkey,,+(90)-212-8750268,+(90)-212-8751196,www.kartesltd.com,https://www.linkedin.com/in/burag-ciroğlu-69b17124
"
                Yuksel Elektrotechnic, which was founded in a small store in 1989 in satellite system sector, succeeded to become one of the leader companies in Turkish market within a short time. This momentum we caught encouraged us for our further works. With the great support of our shareholders, our brands NEXT, NEXTSTAR, NEXTHOME and NEW WAVE have achieved significant brand awareness and credibility in Turkey and neighboring countries and reached a level to compete with World brands in a short time.  As Next & Nextstar company, in order to catch the evolving technology and changing trends and to touch more deeply on behalf of our customers, we adopted the approach ""think locally act globally"". With this understanding, our priority was to create innovation and diversity in the products we have offered. With this perspective, we are expanding our product portfolio with user-friendly products in each passing day and we offer products in all categories to meet the demands of different consumers.  The only factor that will further consolidate our sustainable success which we achieved after a great work is our adoption of ""YOksel Culture"". From management to production, from sales to distribution, we believe that all individuals working under the structure of Next&Nextstar in all the regions of Turkey and neighboring countries sustain their works by adopting this culture.  As YOksel Elect rotechnical company, the basic notions that we have is the satisfaction of our customers who are the biggest supporter of us. In order to succeed this and to ensure customer satisfaction, we are expanding our service every day. Nevertheless in order to increase the overall quality, we are taking steps like training our dealers in various regions of Turkey in subject of sales and technical matters. With 'make not been done before' motto, our company continues its activities without compromising the quality and fulfills its responsibilities to the customers.  As Next & Nextstar company, we are considering the evolving customer needs and technological trends and we are trying to expand our products, services and application range. With the support of our shareholders, our goal is to go better and better with each passing day.
                 
                 
            ",Next & Nextstar Electronic Co. Ltd. - Yüksel Electrotechnic,Tarık Davutoğlu ,Battalgazi Mh. Basra Cd No:16-22   Sultanbeyli  34935,İstanbul,Turkey,,+(90)-216-5929800,,www.next.com.tr,https://www.linkedin.com/in/tar%C4%B1k-davuto%C4%9Flu-148a57a5
"
                KASSO ENGINEERING, is an Turkish engineering and fabrication company that is specialized in metal working industry since 1975. In 1986, expanded mesh and welded construction production has been involved in product range to widen opportunities in metal sheet manufacturing with the partnership of TEKŞAN&KASSO. Today in İstanbul Anadolu Yakası Industrial Zone Headquarters, KASSO Engineering offers project based innovative solutions, ready to install products as a complete metal working company with the infrastructure of patented high technology machinery park. KASSO is majored in expanded mesh metal, perforated panel and laser pattern cut panel production, for double skin facades, suspended ceiling, sun louvre and construction elements applications. Aim is to expand the opportunities metal sheet designs both in industrial and architectural applications. KASSO, created the “Architectural Metal Cladding” concept in construction and architecture field. Kasso has the aim of supplying quality products and service to their customers with workers, suppliers, clients, solution partners and sharers from society and environment to meet all expectations in high level, with the vision of deploying resources, being environmentally-conscious and open to improvement as one of leading company in Turkey and all over the world.
                 
                 
            ",Kasso Engineering,Alper Geyik,Aydınlı Mahallesi İstanbul Anadolu Yakası Organize Sanayi Bölgesi 2.Sokak No:5  Tuzla 34953,İstanbul,Turkey,,+(90)-216-5931485,+(90)-216-5931489,kasso.com.tr,https://linkedin.com/in/alper-geyik-371027b6
"
                The company is a private firm with more than 50 years experience in manufacturing galvanized home gardening and floral articles.
                 
                 
            ",Aras Metal,Hirac Sözüdoğru,Adnan Kahveci Mah. Mehmetcik Caddesi Sirin Sanayi Sitesi A Blok No:1 Gürpinar Büyükçekmece,İstanbul,Turkey,,+(90)-212-8552780,+(90)-212-8560826,www.arasmetal.com,https://www.linkedin.com/in/hirac-sozudogru-b4511972
"
                Fırat was established to carry out production in the field of plastic building materials in the year 1972. Fırat, which always sets out with the principles of quality production and product diversity, has succeeded in becoming both the leading establishment of the sector and the export leader of the sector as a result of significant enterprises that have taken years. In its production Fırat targets various sectors such as construction, agriculture, automotive, medical, domestic appliances sectors with its plastic-based products. It realizes its production targeting those sectors in its modern factories in Büyükçekmece-İstanbul and Sincan-Ankara which have a total area that reaches 750,000 m2. Fırat owns one of the three biggest plastic production complexes in Europe. s of 2013 the number of personnel working in the constitution of Fırat is 1850. Fırat which believes that the most valuable element is human always organizes in-service trainings with the aim of enhancing work experience of its employees and building up their corporate knowledge.
                 
                 
            ",Fırat,Fatih Topal,,Adana,Turkey,,+(90)-322-1,,www.firat.com,https://www.linkedin.com/in/fatih-topal-80315728
"
                AKE is a company based in Turkey since 1995 constructed on 12.000 m² area. AKE is used to be one of the leader companies and biggest manufacturer of its own industry that supplies 65% need of Turkish market and a fast growing export capacity worldwide.  Having put into operation a quality management system, AKE has proved that it has met the TS EN ISO 9001 : 2000 standards and awarded a certificate to this effect by TÜV. On the other hand AKE has approved and held the certificate of DIN 1891 F90 and EI-60 RU. AKE also the proud of manufacturing all its products according to CE.  Having a well qualified technical and sales staff and spare parts stocks capacities, allowed us to serve in the best and the fastest way to our clients. In addition AKE increases its overseas sales channels with a qualified marketing team each year.  In our product range includes  Automatic and semi-automatic floor doors (stainless steel, epoxy painted, glass, etc) .  Automatic cabin doors (stainless steel, epoxy painted, glass etc. ) .  Passenger cabins (panoramic, stainless steel, tempered glass, painted, PVC etc. )  (with all dimensions) .  Service elevators (epoxy painted, stainless steel etc. ).
                 
                 
            ","AKE Elevator, Escalator and Disability Systems",Kenan Apak,"rganize Sanayi Bölgesi, 1. Kısım, Atatürk Bulvarı Döşemealtı 07193",Antalya,Turkey,,+(90)-242-2581570,+(90)-242-2581569,ake.com.tr,https://linkedin.com/in/kenanapak
"
                Gedik Casting & Valve is owned by GEDIK HOLDING, one of the biggest conglomerates of Turkey which also operates in welding, finance and education sectors with its leader establishments. The Company has three divisions namely, Sand Casting, Investment Casting and TERMO Valve and Armatures. Gedik Casting &Valves headquarter is based in Pendik-Istanbul where it also has its precision/sand casting and TERMO valve production facilities. The company opened its new environment friendly foundry at the 2nd Organized Zone of Sakarya, Hendek (160 km southeast of Turkey) in the beginning of 2012 and quadrupled its sand casting capacity . MILESTONES Gedik Casting and Valve started its activities as one of the first valve manufacturing plants of Turkey with the brand name of TERMO Steam Equipments in 1967. TERMO has obtained fast growth and development since its establishment and in 1991, it has become an integrated plant which realizes every stage from casting to the finished product by merging with SIRMETAL Precision Casting, one of the companies of GEDIK HOLDING and has taken on the name GEDIK Casting and Valve as a result of this merger.
                 
                 
            ",Gedik Casting & Valve - Gedik Holding,Dilek Uzunyurt,Ankara Caddesi No:306 Seyhli  Pendik 34906,İstanbul,Turkey,,+(90)-216-3785000,+(90)-216-3782044,www.gedikdokum.com,https://www.linkedin.com/in/dilek-uzunyurt-8b542745
"
                As METE Plastik San. Tic. A.S. we have been manufacturing Garden Furnitures, Stadium Seats, Kitchenware, Houseware, Industrial Products and Packaging Materials for more than 26 years. We have been conducting our production with technologically advanced machines and moulds, experienced technical staff and qualified specialist personel; and we get the best results. Our quality policy is to swiftly provide the best thechnology with the best conditions to our customers. Our objective is to provide our customers with the Quality, Price and Service Triangle simultaneusly, by becoming an internationally distinguished brand, taking into consideration of customer demands, developing technologies, price and competition conditions in our field of activitiy.
                 
                 
            ",Prima - Mete Plastic Industry And Trade Inc.,Muhammed Özkaptan,Beylikdüzü Organize Sanayi Bölgesi Mermerciler Sanayi Sitesi 10. Cadde No: 4 Beylikdüzü  34524,İstanbul,Turkey,,+(90)-212-8754333,+(90)-212-8753303,www.mete.com.tr,https://linkedin.com/in/muhammed-özkaptan-1a35815b
"
                We, Albayrak Melamin & Plastik have been manufacturing melamine and plastics kitchenware since 1986. Our products to the clients which addresses everyone with our unique design, quality and rich variety of models. Today, Albayrak meets the consumers within domestic and international markets maintaining its development in global markets and our brand recognition and market share has been increasing day by day within the countries we conduct operations in. We strengthen our position in all markets with our wide distribution network. We intend to continue within the industry with new investments maintaining the same achievement levels towards our vision and mission
                 
                 
            ",Albayrak Melamine,Gürol Sarkut ,Akçaburgaz Mahallesi 3137 Sokak Numara 24-26  Esenyurt,İstanbul,Turkey,,+(90)-212-6593375,+(90)-212-6590240,www.albayrakmelamin.com,https://www.linkedin.com/in/g%C3%BCrol-sarkut-09121526
"
                Ugur Teneke Ambalaj ve Plastik Sanayi A.S. started manufacturing package at its own plant in Cibali, Istanbul, in 1954. The Company renovated itself, its technology, equipment pool, quality, and Research & Development investments in time, and keeps on manufacturing with todays technology in an indoors area of 17,500 m2 in total of 25,500 m2 area, in Dilovasi Organized Industrial Zone. We have been running our businesses in a customer oriented and solution-oriented manner since the day of the Companys establishment. The Company acquired its current position by following up the changing market conditions, innovations, new products and technologies closely.   We regularly renew our tin can, and plastic bucket lines according to the technological developments in every new term. We follow-up worldwide innovations in manufacturing tin, and plastic buckets as we are in a constant research and development. We spare no expense for improving our products, and testing them at our technologically equipped laboratories. One of our main efforts is to provide constant innovation to the market, and make the companies, to which we supply products, advantageous in the competition. In this respect, we constantly keep on investing in new products, and quality control department and laboratories.
                 
                 
            ",Uğur Metal & Plastic Packaging Ind. Co.,Cem Maya,Dosb 2.Kisim D-2006 Sok. No.4 Dilovasi 41455,Kocaeli,Turkey,English ,+(90)-262-7540110,+(90)-262-7540123,www.ugurteneke.com.tr,https://www.linkedin.com/in/cem-maya-93387424
